Epoch 0, iter 42, Dice Sup Loss: 0.43253, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.65669, BCE UnSup Loss: 0.55991
Epoch 0, iter 43, Dice Sup Loss: 0.43433, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.66529, BCE UnSup Loss: 0.59947
Epoch 0, iter 44, Dice Sup Loss: 0.45508, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.66668, BCE UnSup Loss: 0.61876
Epoch 0, iter 45, Dice Sup Loss: 0.44142, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.6677, BCE UnSup Loss: 0.61079
Epoch 0, iter 46, Dice Sup Loss: 0.45537, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.64798, BCE UnSup Loss: 0.58706
Epoch 0, iter 47, Dice Sup Loss: 0.46584, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.64906, BCE UnSup Loss: 0.56504
Epoch 0, iter 48, Dice Sup Loss: 0.52167, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.61372, BCE UnSup Loss: 0.52693
Epoch 0, iter 49, Dice Sup Loss: 0.48934, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.61249, BCE UnSup Loss: 0.56751
Epoch 0, iter 50, Dice Sup Loss: 0.48225, Dice Unsup Loss: 0.99992, BCE Sup Loss: 0.64669, BCE UnSup Loss: 0.43766
Epoch 0, iter 51, Dice Sup Loss: 0.50916, Dice Unsup Loss: 0.99997, BCE Sup Loss: 0.59763, BCE UnSup Loss: 0.44912
Epoch 0, iter 52, Dice Sup Loss: 0.51012, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.60175, BCE UnSup Loss: 0.42937
Epoch 0, iter 53, Dice Sup Loss: 0.51716, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.58597, BCE UnSup Loss: 0.43787
Epoch 0, iter 54, Dice Sup Loss: 0.48307, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.61746, BCE UnSup Loss: 0.45382
Epoch 0, iter 55, Dice Sup Loss: 0.52824, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.57939, BCE UnSup Loss: 0.48489
Epoch 0, iter 56, Dice Sup Loss: 0.50122, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.61718, BCE UnSup Loss: 0.50467
Epoch 0, iter 57, Dice Sup Loss: 0.45288, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.65131, BCE UnSup Loss: 0.49327
Epoch 0, iter 58, Dice Sup Loss: 0.47431, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.62322, BCE UnSup Loss: 0.53246
Epoch 0, iter 59, Dice Sup Loss: 0.47866, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.6399, BCE UnSup Loss: 0.51086
Epoch 0, iter 60, Dice Sup Loss: 0.49928, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.63004, BCE UnSup Loss: 0.52446
Epoch 0, iter 61, Dice Sup Loss: 0.50377, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.63322, BCE UnSup Loss: 0.53079
Epoch 0, iter 62, Dice Sup Loss: 0.47139, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.63802, BCE UnSup Loss: 0.50992
Epoch 0, iter 63, Dice Sup Loss: 0.45848, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.65101, BCE UnSup Loss: 0.47681
Epoch 0, iter 64, Dice Sup Loss: 0.53761, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.59221, BCE UnSup Loss: 0.44265
Epoch 0, iter 65, Dice Sup Loss: 0.47246, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.62118, BCE UnSup Loss: 0.4736
Epoch 0, iter 66, Dice Sup Loss: 0.47438, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.63754, BCE UnSup Loss: 0.47397
Epoch 0, iter 67, Dice Sup Loss: 0.48581, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.59817, BCE UnSup Loss: 0.48874
Epoch 0, iter 68, Dice Sup Loss: 0.48485, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.61048, BCE UnSup Loss: 0.49978
Epoch 0, iter 69, Dice Sup Loss: 0.49256, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.59863, BCE UnSup Loss: 0.50764
Epoch 0, iter 70, Dice Sup Loss: 0.50917, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.5636, BCE UnSup Loss: 0.52647
Epoch 0, iter 71, Dice Sup Loss: 0.42868, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.65258, BCE UnSup Loss: 0.52404
Epoch 0, iter 72, Dice Sup Loss: 0.43297, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.6236, BCE UnSup Loss: 0.54345
Epoch 0, iter 73, Dice Sup Loss: 0.43343, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.6435, BCE UnSup Loss: 0.53156
Epoch 0, iter 74, Dice Sup Loss: 0.45818, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.65962, BCE UnSup Loss: 0.59648
Epoch 0, iter 75, Dice Sup Loss: 0.44156, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.66741, BCE UnSup Loss: 0.61361
Epoch 0, iter 76, Dice Sup Loss: 0.43995, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.63733, BCE UnSup Loss: 0.61378
Epoch 0, iter 77, Dice Sup Loss: 0.45944, Dice Unsup Loss: 0.99992, BCE Sup Loss: 0.65877, BCE UnSup Loss: 0.62867
Epoch 0, iter 78, Dice Sup Loss: 0.51792, Dice Unsup Loss: 1.0, BCE Sup Loss: 0.62865, BCE UnSup Loss: 0.56893
